monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date,service_id
0,0,0,0,0,0,1,20240328,20241214,803
0,0,0,0,0,0,1,20240328,20241214,804
0,0,0,0,0,0,1,20240328,20241214,819
0,0,0,0,0,0,1,20240401,20241214,702
0,0,0,0,0,0,1,20240401,20241214,703IND
0,0,0,0,0,0,1,20240412,20241214,701
0,0,0,0,0,1,1,20231210,20241214,6510
0,0,0,0,0,1,1,20231210,20241214,703IND_
0,0,0,0,0,1,1,20231210,20241214,873
0,0,0,0,0,1,1,20240501,20241214,6124
0,0,0,0,0,1,1,20240501,20241214,6129
0,0,0,0,0,1,1,20240501,20241214,6132
0,0,0,0,0,1,1,20240501,20241214,6137
0,0,0,0,0,1,1,20240501,20241214,6148
0,0,0,0,0,1,1,20240501,20241214,6153
0,0,0,0,0,1,1,20240501,20241214,6331
0,0,0,0,0,1,1,20240501,20241214,6332
0,0,0,0,0,1,1,20240501,20241214,6339
0,0,0,0,0,1,1,20240501,20241214,6340
0,0,0,0,0,1,1,20240501,20241214,6345
0,0,0,0,0,1,1,20240501,20241214,6351
0,1,1,1,0,0,1,20240402,20241214,704KR
0,1,1,1,0,0,1,20240402,20241214,704KRKL
0,1,1,1,0,0,1,20240402,20241214,704KRSTĀVVIET
1,0,0,0,0,0,0,20231210,20240531,809
1,0,0,0,0,0,0,20231210,20241214,721
1,0,0,0,0,0,0,20231210,20241214,722
1,0,0,0,0,0,0,20231210,20241214,868
1,0,0,0,0,0,0,20240328,20241214,811
1,0,0,0,0,0,0,20240328,20241214,812
1,0,1,1,1,0,0,20240403,20241214,703KR
1,0,1,1,1,0,0,20240403,20241214,703KRKL
1,0,1,1,1,0,0,20240403,20241214,703KRSTĀVVIET
1,1,1,1,0,0,1,20231210,20241214,704KR_
1,1,1,1,1,0,0,20231210,20240430,6154
1,1,1,1,1,0,0,20231210,20240430,6158
1,1,1,1,1,0,0,20231210,20240430,6161
1,1,1,1,1,0,0,20231210,20240430,6167
1,1,1,1,1,0,0,20231210,20240430,6343
1,1,1,1,1,0,0,20231210,20240430,6344
1,1,1,1,1,0,0,20231210,20240628,6115
1,1,1,1,1,0,0,20231210,20241214,6104
1,1,1,1,1,0,0,20231210,20241214,6111
1,1,1,1,1,0,0,20231210,20241214,6112
1,1,1,1,1,0,0,20231210,20241214,6207
1,1,1,1,1,0,0,20231210,20241214,6258
1,1,1,1,1,0,0,20231210,20241214,6263
1,1,1,1,1,0,0,20231210,20241214,6303
1,1,1,1,1,0,0,20231210,20241214,6304
1,1,1,1,1,0,0,20231210,20241214,6305
1,1,1,1,1,0,0,20231210,20241214,6306
1,1,1,1,1,0,0,20231210,20241214,6401
1,1,1,1,1,0,0,20231210,20241214,6402
1,1,1,1,1,0,0,20231210,20241214,6512
1,1,1,1,1,0,0,20231210,20241214,6517
1,1,1,1,1,0,0,20231210,20241214,6521
1,1,1,1,1,0,0,20231210,20241214,6530
1,1,1,1,1,0,0,20231210,20241214,6534
1,1,1,1,1,0,0,20231210,20241214,6871
1,1,1,1,1,0,0,20231210,20241214,6872
1,1,1,1,1,0,0,20231210,20241214,6875
1,1,1,1,1,0,0,20231210,20241214,6876
1,1,1,1,1,0,0,20231210,20241214,6877
1,1,1,1,1,0,0,20231210,20241214,6878
1,1,1,1,1,0,0,20231210,20241214,6879
1,1,1,1,1,0,0,20231210,20241214,6880
1,1,1,1,1,0,0,20231210,20241214,6881
1,1,1,1,1,0,0,20231210,20241214,6882
1,1,1,1,1,0,0,20231210,20241214,703KR_
1,1,1,1,1,0,0,20231210,20241214,821
1,1,1,1,1,0,0,20231210,20241214,843
1,1,1,1,1,0,0,20231210,20241214,846
1,1,1,1,1,0,0,20231210,20241214,847
1,1,1,1,1,0,0,20231210,20241214,863
1,1,1,1,1,0,0,20231210,20241214,864
1,1,1,1,1,0,0,20231210,20241214,871
1,1,1,1,1,0,0,20240115,20241214,832
1,1,1,1,1,0,0,20240501,20241214,6210
1,1,1,1,1,0,0,20240501,20241214,6215
1,1,1,1,1,0,0,20240501,20241214,6309
1,1,1,1,1,0,0,20240501,20241214,6310
1,1,1,1,1,0,0,20240501,20241214,6346
1,1,1,1,1,0,1,20231210,20241214,822
1,1,1,1,1,1,1,20231210,20241214,6101
1,1,1,1,1,1,1,20231210,20241214,6102
1,1,1,1,1,1,1,20231210,20241214,6105
1,1,1,1,1,1,1,20231210,20241214,6106
1,1,1,1,1,1,1,20231210,20241214,6107
1,1,1,1,1,1,1,20231210,20241214,6109
1,1,1,1,1,1,1,20231210,20241214,6110
1,1,1,1,1,1,1,20231210,20241214,6113
1,1,1,1,1,1,1,20231210,20241214,6114
1,1,1,1,1,1,1,20231210,20241214,6118
1,1,1,1,1,1,1,20231210,20241214,6119
1,1,1,1,1,1,1,20231210,20241214,6122
1,1,1,1,1,1,1,20231210,20241214,6123
1,1,1,1,1,1,1,20231210,20241214,6126
1,1,1,1,1,1,1,20231210,20241214,6127
1,1,1,1,1,1,1,20231210,20241214,6130
1,1,1,1,1,1,1,20231210,20241214,6131
1,1,1,1,1,1,1,20231210,20241214,6134
