fare_id,price,currency_type,payment_method,transfers,transfer_duration,agency_id
1,0.90,EUR,0,0,0,pv
10,4.20,EUR,0,0,0,pv
100,7.55,EUR,0,0,0,pv
101,7.80,EUR,0,0,0,pv
102,8.15,EUR,0,0,0,pv
103,8.30,EUR,0,0,0,pv
104,8.45,EUR,0,0,0,pv
105,6.45,EUR,0,0,0,pv
106,6.60,EUR,0,0,0,pv
107,7.90,EUR,0,0,0,pv
108,8.05,EUR,0,0,0,pv
109,7.15,EUR,0,0,0,pv
11,4.60,EUR,0,0,0,pv
12,5.55,EUR,0,0,0,pv
13,5.80,EUR,0,0,0,pv
14,6.25,EUR,0,0,0,pv
15,6.65,EUR,0,0,0,pv
16,6.80,EUR,0,0,0,pv
17,7.25,EUR,0,0,0,pv
18,3.55,EUR,0,0,0,pv
19,3.85,EUR,0,0,0,pv
2,1.50,EUR,0,0,0,pv
20,4.10,EUR,0,0,0,pv
21,4.55,EUR,0,0,0,pv
22,5.40,EUR,0,0,0,pv
23,5.70,EUR,0,0,0,pv
24,6.10,EUR,0,0,0,pv
25,6.55,EUR,0,0,0,pv
26,7.10,EUR,0,0,0,pv
27,3.35,EUR,0,0,0,pv
28,4.95,EUR,0,0,0,pv
29,5.30,EUR,0,0,0,pv
3,2.10,EUR,0,0,0,pv
30,6.75,EUR,0,0,0,pv
31,2.70,EUR,0,0,0,pv
32,2.95,EUR,0,0,0,pv
33,3.20,EUR,0,0,0,pv
34,4.45,EUR,0,0,0,pv
35,4.80,EUR,0,0,0,pv
36,6.20,EUR,0,0,0,pv
37,2.25,EUR,0,0,0,pv
38,2.50,EUR,0,0,0,pv
39,2.75,EUR,0,0,0,pv
4,2.60,EUR,0,0,0,pv
40,4.05,EUR,0,0,0,pv
41,4.35,EUR,0,0,0,pv
42,5.20,EUR,0,0,0,pv
43,5.75,EUR,0,0,0,pv
44,1.75,EUR,0,0,0,pv
45,2.20,EUR,0,0,0,pv
46,2.40,EUR,0,0,0,pv
47,2.90,EUR,0,0,0,pv
48,3.75,EUR,0,0,0,pv
49,4.90,EUR,0,0,0,pv
5,1.10,EUR,0,0,0,pv
50,5.05,EUR,0,0,0,pv
51,5.45,EUR,0,0,0,pv
52,1.45,EUR,0,0,0,pv
53,3.45,EUR,0,0,0,pv
54,4.25,EUR,0,0,0,pv
55,4.70,EUR,0,0,0,pv
56,0.80,EUR,0,0,0,pv
57,1.30,EUR,0,0,0,pv
58,2.35,EUR,0,0,0,pv
59,3.95,EUR,0,0,0,pv
6,1.00,EUR,0,0,0,pv
60,4.40,EUR,0,0,0,pv
61,1.15,EUR,0,0,0,pv
62,1.95,EUR,0,0,0,pv
63,2.85,EUR,0,0,0,pv
64,3.60,EUR,0,0,0,pv
65,1.60,EUR,0,0,0,pv
66,1.65,EUR,0,0,0,pv
67,1.80,EUR,0,0,0,pv
68,0.95,EUR,0,0,0,pv
69,3.25,EUR,0,0,0,pv
7,3.10,EUR,0,0,0,pv
70,3.05,EUR,0,0,0,pv
71,2.55,EUR,0,0,0,pv
72,1.40,EUR,0,0,0,pv
73,1.25,EUR,0,0,0,pv
74,5.10,EUR,0,0,0,pv
75,7.40,EUR,0,0,0,pv
76,0.00,EUR,0,0,0,pv
77,6.05,EUR,0,0,0,pv
78,6.90,EUR,0,0,0,pv
79,7.05,EUR,0,0,0,pv
8,3.70,EUR,0,0,0,pv
80,5.90,EUR,0,0,0,pv
81,6.40,EUR,0,0,0,pv
82,7.60,EUR,0,0,0,pv
83,7.65,EUR,0,0,0,pv
84,8.10,EUR,0,0,0,pv
85,8.40,EUR,0,0,0,pv
86,8.65,EUR,0,0,0,pv
87,8.80,EUR,0,0,0,pv
88,8.95,EUR,0,0,0,pv
89,5.25,EUR,0,0,0,pv
9,3.90,EUR,0,0,0,pv
90,5.95,EUR,0,0,0,pv
91,6.95,EUR,0,0,0,pv
92,7.30,EUR,0,0,0,pv
93,7.45,EUR,0,0,0,pv
94,7.95,EUR,0,0,0,pv
95,8.25,EUR,0,0,0,pv
96,8.50,EUR,0,0,0,pv
97,8.75,EUR,0,0,0,pv
98,8.90,EUR,0,0,0,pv
99,5.60,EUR,0,0,0,pv
