trip_id,arrival_time,departure_time,stop_id,stop_sequence
71604,08:10:00,08:11:00,203,1
71604,08:14:00,08:15:00,330,2
71604,08:20:00,08:21:00,412,3
71604,08:27:00,08:28:00,364,4
71604,08:31:00,08:32:00,367,5
71604,08:36:00,08:37:00,298,6
71604,08:41:00,08:42:00,283,7
71604,08:49:00,08:50:00,339,8
71604,08:51:00,08:52:00,343,9
71604,08:56:00,08:57:00,299,10
71604,09:00:00,09:01:00,384,11
71604,09:05:00,09:06:00,380,12
71604,09:07:00,09:08:00,250,13
71604,09:12:00,09:13:00,274,14
71604,09:15:00,09:16:00,421,15
71604,09:17:00,09:18:00,245,16
71604,09:19:00,09:20:00,331,17
71604,09:24:00,09:25:00,450,18
71604,09:29:00,09:30:00,1,19
72135,05:05:00,05:06:00,203,1
72135,05:10:00,05:11:00,330,2
72135,05:16:00,05:17:00,412,3
72135,05:23:00,05:24:00,364,4
72135,05:28:00,05:29:00,367,5
72135,05:33:00,05:34:00,298,6
72135,05:37:00,05:38:00,283,7
72135,05:42:00,05:43:00,235,8
72135,05:46:00,05:47:00,354,9
72135,05:49:00,05:50:00,339,10
72135,05:51:00,05:52:00,343,11
72135,05:56:00,05:57:00,299,12
72135,06:00:00,06:01:00,384,13
72135,06:05:00,06:06:00,380,14
72135,06:07:00,06:08:00,250,15
72135,06:15:00,06:16:00,421,16
72135,06:17:00,06:18:00,245,17
72135,06:19:00,06:20:00,331,18
72135,06:24:00,06:25:00,450,19
72135,06:29:00,06:30:00,1,20
72141,06:05:00,06:06:00,203,1
72141,06:10:00,06:11:00,330,2
72141,06:16:00,06:17:00,412,3
72141,06:23:00,06:24:00,364,4
72141,06:28:00,06:29:00,367,5
72141,06:33:00,06:34:00,298,6
72141,06:37:00,06:38:00,283,7
72141,06:42:00,06:43:00,235,8
72141,06:46:00,06:47:00,354,9
72141,06:49:00,06:50:00,339,10
72141,06:51:00,06:52:00,343,11
72141,06:56:00,06:57:00,299,12
72141,07:00:00,07:01:00,384,13
72141,07:05:00,07:06:00,380,14
72141,07:07:00,07:08:00,250,15
72141,07:12:00,07:13:00,274,16
72141,07:15:00,07:16:00,421,17
72141,07:17:00,07:18:00,245,18
72141,07:19:00,07:20:00,331,19
72141,07:24:00,07:25:00,450,20
72141,07:29:00,07:30:00,1,21
72151,07:04:00,07:05:00,203,1
72151,07:08:00,07:09:00,330,2
72151,07:14:00,07:15:00,412,3
72151,07:21:00,07:22:00,364,4
72151,07:26:00,07:27:00,367,5
72151,07:31:00,07:32:00,298,6
72151,07:35:00,07:36:00,283,7
72151,07:40:00,07:41:00,235,8
72151,07:44:00,07:45:00,354,9
72151,07:47:00,07:48:00,339,10
72151,07:49:00,07:50:00,343,11
72151,07:54:00,07:55:00,299,12
72151,07:58:00,07:59:00,384,13
72151,08:03:00,08:04:00,380,14
72151,08:05:00,08:06:00,250,15
72151,08:12:00,08:13:00,274,16
72151,08:15:00,08:16:00,421,17
72151,08:17:00,08:18:00,245,18
72151,08:19:00,08:20:00,331,19
72151,08:24:00,08:25:00,450,20
72151,08:29:00,08:30:00,1,21
72164,09:04:00,09:05:00,203,1
72164,09:08:00,09:09:00,330,2
72164,09:14:00,09:15:00,412,3
72164,09:21:00,09:22:00,364,4
72164,09:26:00,09:27:00,367,5
72164,09:31:00,09:32:00,298,6
72164,09:35:00,09:36:00,283,7
72164,09:40:00,09:41:00,235,8
72164,09:44:00,09:45:00,354,9
72164,09:47:00,09:48:00,339,10
72164,09:49:00,09:50:00,343,11
72164,09:54:00,09:55:00,299,12
72164,09:58:00,09:59:00,384,13
72164,10:03:00,10:04:00,380,14
72164,10:05:00,10:06:00,250,15
72164,10:12:00,10:13:00,274,16
72164,10:15:00,10:16:00,421,17
72164,10:17:00,10:18:00,245,18
72164,10:19:00,10:20:00,331,19
72164,10:24:00,10:25:00,450,20
72164,10:29:00,10:30:00,1,21
72166,10:05:00,10:06:00,203,1
72166,10:09:00,10:10:00,330,2
72166,10:15:00,10:16:00,412,3
72166,10:22:00,10:23:00,364,4
72166,10:27:00,10:28:00,367,5
72166,10:32:00,10:33:00,298,6
72166,10:37:00,10:38:00,283,7
72166,10:42:00,10:43:00,235,8
72166,10:46:00,10:47:00,354,9
72166,10:49:00,10:50:00,339,10
72166,10:51:00,10:52:00,343,11
72166,10:56:00,10:57:00,299,12
72166,11:00:00,11:01:00,384,13
72166,11:05:00,11:06:00,380,14
72166,11:07:00,11:08:00,250,15
72166,11:12:00,11:13:00,274,16
72166,11:15:00,11:16:00,421,17
72166,11:17:00,11:18:00,245,18
72166,11:19:00,11:20:00,331,19
72166,11:24:00,11:25:00,450,20
72166,11:29:00,11:30:00,1,21
