stop_name,stop_id,stop_lat,stop_lon,stop_url
Aizkraukle,203,56.622787,25.274027,https://www.pv.lv/lv/biletes/bilesu-kasu-darba-laiki/83/aizkraukle/
Alotene,204,56.633385,25.577803,https://www.pv.lv/lv/biletes/bilesu-kasu-darba-laiki/85/alotene/
Asari,207,56.957176,23.689426,https://www.pv.lv/lv/biletes/bilesu-kasu-darba-laiki/37/asari/
Atašiene,208,56.53004,26.40757,https://www.pv.lv/lv/biletes/bilesu-kasu-darba-laiki/100/atasiene/
Atgāzene,209,56.917725,24.079983,https://www.pv.lv/lv/biletes/bilesu-kasu-darba-laiki/46/atgazene/
Babīte,213,56.95731,23.952856,https://www.pv.lv/lv/biletes/bilesu-kasu-darba-laiki/26/babite/
Baloži,216,56.844833,24.048256,https://www.pv.lv/lv/biletes/bilesu-kasu-darba-laiki/48/balozi/
Biksti,222,56.691498,22.981167,https://www.pv.lv/lv/biletes/bilesu-kasu-darba-laiki/171/biksti/
Biznesa Augstskola Turība,387,56.9111,24.077732,https://www.pv.lv/lv/biletes/bilesu-kasu-darba-laiki/47/biznesa-augstskola-turiba/
Brasa,225,56.97753,24.146318,https://www.pv.lv/lv/biletes/bilesu-kasu-darba-laiki/145/brasa/
Briģi,227,56.414993,28.05007,https://www.pv.lv/lv/biletes/bilesu-kasu-darba-laiki/111/brigi/
Bulduri,229,56.98124,23.852283,https://www.pv.lv/lv/biletes/bilesu-kasu-darba-laiki/29/bulduri/
Carnikava,230,57.1286,24.279871,https://www.pv.lv/lv/biletes/bilesu-kasu-darba-laiki/127/carnikava/
Cena,232,56.70818,23.83265,https://www.pv.lv/lv/biletes/bilesu-kasu-darba-laiki/53/cena/
Cesvaine,234,56.957798,26.331654,https://www.pv.lv/lv/biletes/bilesu-kasu-darba-laiki/92/cesvaine/
Ciemupe,235,56.77996,24.65847,https://www.pv.lv/lv/biletes/bilesu-kasu-darba-laiki/75/ciemupe/
Cirma,236,56.534904,27.52998,https://www.pv.lv/lv/biletes/bilesu-kasu-darba-laiki/107/cirma/
Cukurfabrika,237,56.653324,23.758835,https://www.pv.lv/lv/biletes/bilesu-kasu-darba-laiki/55/cukurfabrika/
Cēsis,233,57.314034,25.283276,https://www.pv.lv/lv/biletes/bilesu-kasu-darba-laiki/158/cesis/
Dalbe,239,56.741367,23.87505,https://www.pv.lv/lv/biletes/bilesu-kasu-darba-laiki/52/dalbe/
Daugavpils,243,55.87213,26.533012,https://www.pv.lv/lv/biletes/bilesu-kasu-darba-laiki/120/daugavpils/
Daugmale,245,56.909565,24.200176,https://www.pv.lv/lv/biletes/bilesu-kasu-darba-laiki/63/daugmale/
Depo,248,56.94666,24.04049,https://www.pv.lv/lv/biletes/bilesu-kasu-darba-laiki/32/depo/
Dobele,249,56.628407,23.283764,https://www.pv.lv/lv/biletes/bilesu-kasu-darba-laiki/57/dobele/
Dole,250,56.86434,24.324266,https://www.pv.lv/lv/biletes/bilesu-kasu-darba-laiki/68/dole/
Dubulti,252,56.96884,23.775143,https://www.pv.lv/lv/biletes/bilesu-kasu-darba-laiki/33/dubulti/
Dzintari,255,56.97341,23.821804,https://www.pv.lv/lv/biletes/bilesu-kasu-darba-laiki/30/dzintari/
Dārziņi,241,56.870018,24.281029,https://www.pv.lv/lv/biletes/bilesu-kasu-darba-laiki/67/darzini/
Egļupe,256,57.108074,24.743229,https://www.pv.lv/lv/biletes/bilesu-kasu-darba-laiki/126/eglupe/
Gaisma,274,56.894424,24.232021,https://www.pv.lv/lv/biletes/bilesu-kasu-darba-laiki/65/gaisma/
Garciems,276,57.102177,24.205284,https://www.pv.lv/lv/biletes/bilesu-kasu-darba-laiki/138/garciems/
Garkalne,374,57.046005,24.41351,https://www.pv.lv/lv/biletes/bilesu-kasu-darba-laiki/147/garkalne/
Garupe,281,57.114437,24.244938,https://www.pv.lv/lv/biletes/bilesu-kasu-darba-laiki/137/garupe/
Gauja,282,57.140198,24.287296,https://www.pv.lv/lv/biletes/bilesu-kasu-darba-laiki/135/gauja/
Gulbene,291,57.182087,26.764187,https://www.pv.lv/lv/biletes/bilesu-kasu-darba-laiki/96/gulbene/
Ieriķi,297,57.20018,25.17251,https://www.pv.lv/lv/biletes/bilesu-kasu-darba-laiki/155/ieriki/
Ikšķile,299,56.839443,24.506248,https://www.pv.lv/lv/biletes/bilesu-kasu-darba-laiki/71/ikskile/
Imanta,305,56.95052,23.998775,https://www.pv.lv/lv/biletes/bilesu-kasu-darba-laiki/25/imanta/
Indra,313,55.87647,27.54128,https://www.pv.lv/lv/biletes/bilesu-kasu-darba-laiki/179/indra/
Inčukalns,307,57.09756,24.687138,https://www.pv.lv/lv/biletes/bilesu-kasu-darba-laiki/125/incukalns/
Inčupe,310,57.225163,24.397802,https://www.pv.lv/lv/biletes/bilesu-kasu-darba-laiki/133/incupe/
Istalsna,317,56.482307,27.828754,https://www.pv.lv/lv/biletes/bilesu-kasu-darba-laiki/109/istalsna/
Jaundubulti,336,56.961132,23.75683,https://www.pv.lv/lv/biletes/bilesu-kasu-darba-laiki/34/jaundubulti/
Jaungulbene,338,57.06974,26.601141,https://www.pv.lv/lv/biletes/bilesu-kasu-darba-laiki/94/jaungulbene/
Jaunkalsnava,341,56.68641,25.978031,https://www.pv.lv/lv/biletes/bilesu-kasu-darba-laiki/88/jaunkalsnava/
Jaunogre,343,56.822163,24.581566,https://www.pv.lv/lv/biletes/bilesu-kasu-darba-laiki/72/jaunogre/
Jaunolaine,346,56.807083,23.985043,https://www.pv.lv/lv/biletes/bilesu-kasu-darba-laiki/50/jaunolaine/
Jelgava,349,56.640324,23.732143,https://www.pv.lv/lv/biletes/bilesu-kasu-darba-laiki/56/jelgava/
Jersika,360,56.254555,26.210503,https://www.pv.lv/lv/biletes/bilesu-kasu-darba-laiki/115/jersika/
Jugla,362,56.991856,24.233522,https://www.pv.lv/lv/biletes/bilesu-kasu-darba-laiki/123/jugla/
Jumprava,364,56.678204,24.97467,https://www.pv.lv/lv/biletes/bilesu-kasu-darba-laiki/79/jumprava/
Jāņamuiža,323,57.34519,25.340866,https://www.pv.lv/lv/biletes/bilesu-kasu-darba-laiki/159/janamuiza/
Jāņavārti,331,56.91924,24.18623,https://www.pv.lv/lv/biletes/bilesu-kasu-darba-laiki/62/janavarti/
Kaibala,367,56.703293,24.888454,https://www.pv.lv/lv/biletes/bilesu-kasu-darba-laiki/78/kaibala/
Kalngale,258,57.086323,24.152498,https://www.pv.lv/lv/biletes/bilesu-kasu-darba-laiki/139/kalngale/
Kalsnava,260,56.733894,26.018585,https://www.pv.lv/lv/biletes/bilesu-kasu-darba-laiki/89/kalsnava/
Koknese,267,56.650555,25.440065,https://www.pv.lv/lv/biletes/bilesu-kasu-darba-laiki/84/koknese/
Krievupe,271,57.063778,24.509403,https://www.pv.lv/lv/biletes/bilesu-kasu-darba-laiki/148/krievupe/
Krustpils,273,56.52063,25.859735,https://www.pv.lv/lv/biletes/bilesu-kasu-darba-laiki/97/krustpils/
Krāslava,269,55.925087,27.145306,https://www.pv.lv/lv/biletes/bilesu-kasu-darba-laiki/178/kraslava/
Kūdra,275,56.928852,23.544367,https://www.pv.lv/lv/biletes/bilesu-kasu-darba-laiki/40/kudra/
Kūkas,279,56.53914,26.055193,https://www.pv.lv/lv/biletes/bilesu-kasu-darba-laiki/98/kukas/
Lielupe,296,56.981964,23.870115,https://www.pv.lv/lv/biletes/bilesu-kasu-darba-laiki/28/lielupe/
Lielvārde,298,56.719864,24.812107,https://www.pv.lv/lv/biletes/bilesu-kasu-darba-laiki/77/lielvarde/
Liepāja,300,56.52456,21.015795,https://www.pv.lv/lv/biletes/bilesu-kasu-darba-laiki/60/liepaja/
Lilaste,306,57.18183,24.335789,https://www.pv.lv/lv/biletes/bilesu-kasu-darba-laiki/134/lilaste/
Lode,309,57.387356,25.413052,https://www.pv.lv/lv/biletes/bilesu-kasu-darba-laiki/160/lode/
Ludza,311,56.533363,27.724085,https://www.pv.lv/lv/biletes/bilesu-kasu-darba-laiki/108/ludza/
Lugaži,312,57.753937,26.002493,https://www.pv.lv/lv/biletes/bilesu-kasu-darba-laiki/167/lugazi/
Līgatne,301,57.184322,25.0231,https://www.pv.lv/lv/biletes/bilesu-kasu-darba-laiki/154/ligatne/
Līksna,304,55.997925,26.452202,https://www.pv.lv/lv/biletes/bilesu-kasu-darba-laiki/118/liksna/
Līvāni,308,56.349937,26.183681,https://www.pv.lv/lv/biletes/bilesu-kasu-darba-laiki/114/livani/
Madona,315,56.850193,26.219645,https://www.pv.lv/lv/biletes/bilesu-kasu-darba-laiki/91/madona/
Majori,316,56.97153,23.795078,https://www.pv.lv/lv/biletes/bilesu-kasu-darba-laiki/31/majori/
Mangaļi,385,57.018448,24.129711,https://www.pv.lv/lv/biletes/bilesu-kasu-darba-laiki/143/mangali/
Melluži,322,56.958805,23.713345,https://www.pv.lv/lv/biletes/bilesu-kasu-darba-laiki/36/melluzi/
