route_id,service_id,trip_headsign,trip_id
1203,6202,Rīga,71879
1203,6208,Rīga,71898
1203,6216,Rīga,71908
1203,6220,Rīga,71918
1203,6226,Rīga,72642
1203,6230,Rīga,72649
1203,6234,Rīga,72652
1203,6242,Rīga,72663
1203,6250,Rīga,71943
1203,6254,Rīga,72100
1203,6262,Rīga,72109
1203,6270,Rīga,72116
1203,6282,Rīga,72123
1203,6286,Rīga,72595
1203,6292,Rīga,72132
1230,6112,Rīga,71995
1230,6124,Rīga,72001
1230,6132,Rīga,72007
1230,6162,Rīga,72583
1243,802,Rīga,71776
1243,808,Rīga,72681
1243,818,Rīga,71780
1243,824,Rīga,71782
1252,6303,Rīga,72089
1252,6305,Rīga,72091
1252,6309,Rīga,72095
1252,6331,Rīga,72156
1252,6337,Rīga,72604
1252,6339,Rīga,72178
1252,6341,Rīga,72605
1252,6343,Rīga,72188
1252,6343,Rīga,73048
1252,6345,Rīga,72191
1252,6347,Rīga,72562
1252,6351,Rīga,72211
1269,704KR,Rīga,72776
1269,704KR,Rīga,72779
1269,704KR,Rīga,73004
1269,704KR,Rīga,73010
1269,704KRKL,Rīga,72935
1269,704KRKL,Rīga,73005
1269,704KRSTĀVVIET,Rīga,72781
1269,704KRSTĀVVIET,Rīga,73006
1269,704KR_,Rīga,71965
1273,814,Rīga,71826
1286,6527,Rīga,72222
1286,6531,Rīga,72229
1291,804,Rīga,72702
1291,812,Rīga,72704
1291,812,Rīga,72707
1291,822,Rīga,71849
1291,822,Rīga,72710
1298,6204,Rīga,71885
1298,6212,Rīga,71902
1298,6218,Rīga,71913
1298,6222,Rīga,71920
1298,6228,Rīga,72645
1298,6238,Rīga,72655
1298,6246,Rīga,71941
1298,6252,Rīga,72591
1298,6260,Rīga,72107
1298,6268,Rīga,72115
1298,6274,Rīga,72118
1298,6278,Rīga,72120
1298,6288,Rīga,72126
1298,6290,Rīga,72129
1300,721,Rīga,71878
1300,721,Rīga,71881
1300,723,Rīga,71887
1306,6148,Rīga,73050
1313,704IND,Rīga,72770
1313,704IND,Rīga,72806
1313,704IND,Rīga,73019
1313,704IND,Rīga,73025
1313,704INDKL,Rīga,72937
1313,704INDKL,Rīga,73020
1313,704INDSTĀVVIET,Rīga,72772
1313,704INDSTĀVVIET,Rīga,73021
1313,704IND_,Rīga,71975
1313,704IND_,Rīga,73042
1315,822,Rīga,71851
1339,6210,Rīga,71899
1339,6236,Rīga,71936
1339,6240,Rīga,72658
1339,6248,Rīga,71942
1339,6258,Rīga,72105
1339,6280,Rīga,72121
1349,6701,Rīga,71682
1349,6705,Rīga,71685
1349,6711,Rīga,71732
1349,6719,Rīga,71687
1349,6725,Rīga,71720
1349,6729,Rīga,71721
1349,6733,Rīga,71722
1349,6737,Rīga,71726
1349,6741,Rīga,71727
1349,6745,Rīga,71729
1349,6749,Rīga,71734
1349,6753,Rīga,71736
1349,6759,Rīga,71741
1349,6767,Rīga,71745
1349,6773,Rīga,71750
1349,6781,Rīga,71751
1349,6785,Rīga,71753
1349,6789,Rīga,71754
1349,6791,Rīga,71755
1349,6793,Rīga,71756
1349,6871,Rīga,71684
1349,6873,Rīga,71686
1349,6875,Rīga,71718
1349,6877,Rīga,71738
1349,6879,Rīga,71743
1349,6881,Rīga,71746
1372,702,Rīga,72737
1372,702,Rīga,72742
1372,702,Rīga,72746
1372,702,Rīga,72985
1372,702,Rīga,72992
1372,702,Rīga,72995
1372,702,Rīga,73102
1372,702,Rīga,73106
